Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
CEKA,Wilmar Cahaya Indonesia Tbk.,1996-07-09,595000000,Utama,Consumer Non-Cyclicals,1860,1106700000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
CENT,Centratama Telekomunikasi Indo,2001-11-01,31183464900,Pengembangan,Infrastructures,246,7671132365400,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-11-01,2022-04-16
CFIN,Clipan Finance Indonesia Tbk.,1990-08-27,3984520457,Utama,Financials,246,980192032422,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
CINT,Chitose Internasional Tbk.,2014-06-27,1000000000,Pengembangan,Consumer Cyclicals,228,228000000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2014-06-27,2022-04-16
CITA,Cita Mineral Investindo Tbk.,2002-03-20,3960361250,Pengembangan,Basic Materials,3000,11881083750000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2002-03-20,2022-04-16
CITY,Natura City Developments Tbk.,2018-09-28,5405188966,Utama,Properties & Real Estate,149,805373155934,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2018-09-28,2022-04-16
CLAY,Citra Putra Realty Tbk.,2019-01-18,2570000000,Pengembangan,Consumer Cyclicals,725,1863250000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2019-01-18,2022-04-16
CLEO,Sariguna Primatirta Tbk.,2017-05-05,12000000000,Utama,Consumer Non-Cyclicals,440,5280000000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2017-05-05,2022-04-16
CLPI,Colorpak Indonesia Tbk.,2001-11-30,306338500,Pengembangan,Basic Materials,1045,320123732500,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-11-30,2022-04-16
CMNP,Citra Marga Nusaphala Persada ,1995-01-10,5434338797,Utama,Infrastructures,2290,12444635845130,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
