date, pm25, pm10
2021/9/14, 20, 39
2021/9/15, 34, 35
2021/9/16, 24, 37
2021/9/17, 31, 45
2021/9/18, 25, 45
2021/9/19, 22, 43
2021/9/20, 24, 52
2021/9/21, 25, 45
2021/9/22, 33, 49
2021/9/23, 28, 43
2021/9/24, 31, 44
2021/9/25, 38, 39
2021/9/26, 28, 43
2021/9/27, 29, 37
2021/9/28, 21, 47
2021/9/29, 29, 56
2021/9/30, 45, 51
2021/4/12, 21, 46
2021/4/13, 25, 40
2021/4/14, 24, 45
2021/4/15, 19, 46
2021/4/16, 29, 48
2021/4/17, 25, 51
2021/4/18, 25, 47
2021/4/19, 30, 49
2021/4/20, 38, 49
2021/4/23, 25, 64
2021/4/24, 31, 59
2021/4/26, 1, 50
2021/4/27, 33, 55
2021/4/28, 22, 42
2021/4/29, 29, 51
2021/4/30, 24, 
2021/5/1, 26, 
2021/5/2, 21, 
2021/5/3, 21, 44
2021/5/4, 27, 44
2021/5/5, 26, 44
2021/5/6, 20, 37
2021/5/7, 31, 48
2021/5/8, 18, 40
2021/5/9, 18, 24
2021/5/10, 26, 47
2021/5/11, 35, 55
2021/5/12, 25, 57
2021/5/13, 33, 55
2021/5/14, 26, 41
2021/5/15, 22, 40
2021/5/16, 25, 39
2021/5/17, 24, 34
2021/5/18, 18, 25
2021/5/19, 26, 42
2021/5/20, 13, 49
2021/5/21, 35, 49
2021/5/22, 22, 50
2021/5/23, 30, 59
2021/5/24, 32, 81
2021/5/25, 25, 37
2021/5/26, 28, 55
2021/5/27, 12, 46
2021/5/31, 2, 44
2021/6/1, 27, 58
2021/6/2, 31, 51
2021/6/3, 25, 58
2021/6/4, 32, 60
2021/6/5, 29, 51
2021/6/6, 24, 47
2021/6/7, 19, 51
2021/6/8, 19, 53
2021/6/9, 15, 67
2021/6/10, 32, 61
2021/6/11, 14, 50
2021/6/12, 29, 57
2021/6/13, 22, 45
2021/6/14, 25, 65
2021/6/15, 28, 45
2021/6/16, 31, 76
2021/6/17, 31, 67
2021/6/18, 32, 60
2021/6/19, 35, 65
2021/6/20, 40, 76
2021/6/21, 51, 88
2021/6/22, 28, 31
2021/6/23, 31, 63
2021/6/29, 6, 57
2021/6/30, 37, 60
2021/1/4, 93, 34
2021/1/5, 71, 29
2021/1/6, 83, 23
2021/1/7, 69, 33
2021/1/8, 65, 35
2021/1/9, 96, 25
2021/1/10, 60, 31
2021/1/11, 94, 30
2021/1/12, 69, 30
2021/1/13, 108, 27
2021/1/14, 49, 36
2021/1/15, 99, 62
2021/1/16, 120, 48
2021/1/17, 86, 27
2021/1/18, 62, 36
2021/1/19, 100, 33
2021/1/20, 82, 38
2021/1/21, 93, 37
2021/1/22, 93, 59
2021/1/23, 128, 28
2021/1/24, 51, 56
2021/1/27, 8, 22
2021/1/28, 15, 23
2021/1/29, 19, 27
2021/1/30, 14, 39
2021/1/31, 16, 52
2021/2/1, 32, 25
2021/2/2, 18, 20
2021/2/3, 17, 36
2021/2/4, 9, 27
2021/2/5, 1, 27
2021/2/6, 13, 27
2021/2/7, 11, 22
2021/2/8, 10, 33
2021/2/9, 15, 27
2021/2/10, 13, 21
2021/2/11, 15, 24
2021/2/12, 16, 22
2021/2/13, 15, 34
2021/2/14, 11, 34
2021/2/15, 18, 21
2021/2/16, 11, 35
2021/2/17, 21, 35
2021/2/18, 12, 
2021/2/19, 14, 24
2021/2/20, 11, 
2021/2/21, 14, 
2021/2/22, 23, 
2021/2/23, 19, 16
2021/2/24, 18, 28
2021/2/25, 16, 21
2021/2/26, 12, 46
2021/2/27, 21, 30
2021/2/28, 20, 21
2021/3/1, 21, 27
2021/3/2, 13, 30
2021/3/3, 22, 37
2021/3/4, 21, 38
2021/3/5, 24, 39
2021/3/6, 25, 54
2021/3/7, 31, 29
2021/3/8, 18, 28
2021/3/9, 17, 36
2021/3/10, 19, 18
2021/3/11, 4, 34
2021/3/12, 13, 25
2021/3/13, 9, 26
2021/3/17, 3, 69
2021/3/18, 34, 44
2021/3/19, 21, 40
2021/3/20, 20, 29
2021/3/21, 18, 29
2021/3/22, 16, 27
2021/3/23, 23, 19
2021/3/24, 19, 20
2021/3/25, 13, 40
2021/3/26, 25, 45
2021/3/27, 8, 45
2021/3/28, 35, 42
2020/10/10, 110, 53
2020/10/11, 109, 51
2020/10/12, 113, 64
2020/10/13, 123, 61
2020/10/14, 129, 63
2020/10/15, 98, 62
2020/10/16, 98, 55
2020/10/17, 98, 47
2020/10/18, 98, 50
2020/10/19, 98, 54
2020/10/20, 98, 52
2020/11/11, 180, 62
2020/11/20, 75, 47
2020/11/21, 104, 52
2020/11/22, 118, 
2020/11/23, 119, 45
2020/11/24, 77, 37
2020/11/26, 125, 44
2020/11/27, 102, 35
